model_name,scats_number,datetime,actual_flow,predicted_flow
XGBoost,970,2006-10-28 16:45:00,957,963.92
XGBoost,970,2006-10-28 17:00:00,997,964.16
XGBoost,970,2006-10-28 17:15:00,1018,1005.08
XGBoost,970,2006-10-28 17:30:00,1003,1012.03
XGBoost,970,2006-10-28 17:45:00,967,1008.95
XGBoost,970,2006-10-28 18:00:00,861,933.78
XGBoost,970,2006-10-28 18:15:00,881,847.3
XGBoost,970,2006-10-28 18:30:00,820,821.82
XGBoost,970,2006-10-28 18:45:00,775,814.82
XGBoost,970,2006-10-28 19:00:00,748,717.19
XGBoost,970,2006-10-28 19:15:00,685,671.79
XGBoost,970,2006-10-28 19:30:00,622,613.51
XGBoost,970,2006-10-28 19:45:00,370,560.58
XGBoost,970,2006-10-28 20:00:00,515,423.84
XGBoost,970,2006-10-28 20:15:00,481,419.05
XGBoost,970,2006-10-28 20:30:00,396,419.16
XGBoost,970,2006-10-28 20:45:00,345,365.24
XGBoost,970,2006-10-28 21:00:00,353,381.38
XGBoost,970,2006-10-28 21:15:00,347,355.97
XGBoost,970,2006-10-28 21:30:00,363,354.85
XGBoost,970,2006-10-28 21:45:00,337,348.97
XGBoost,970,2006-10-28 22:00:00,372,353.69
XGBoost,970,2006-10-28 22:15:00,335,343.19
XGBoost,970,2006-10-28 22:30:00,365,341.32
XGBoost,970,2006-10-28 22:45:00,310,344.49
XGBoost,970,2006-10-28 23:00:00,354,337.84
XGBoost,970,2006-10-28 23:15:00,347,322.69
XGBoost,970,2006-10-28 23:30:00,358,338.29
XGBoost,970,2006-10-28 23:45:00,311,328.36
XGBoost,970,2006-10-29 00:00:00,324,292.74
XGBoost,970,2006-10-29 00:15:00,299,292.1
XGBoost,970,2006-10-29 00:30:00,273,272.16
XGBoost,970,2006-10-29 00:45:00,213,246.32
XGBoost,970,2006-10-29 01:00:00,150,198.26
XGBoost,970,2006-10-29 01:15:00,139,153.2
XGBoost,970,2006-10-29 01:30:00,114,125.74
XGBoost,970,2006-10-29 01:45:00,0,106.37
XGBoost,970,2006-10-29 02:00:00,0,53.27
XGBoost,970,2006-10-29 02:15:00,0,31.38
XGBoost,970,2006-10-29 02:30:00,0,23.15
XGBoost,970,2006-10-29 02:45:00,102,18.36
XGBoost,970,2006-10-29 03:00:00,99,78.4
XGBoost,970,2006-10-29 03:15:00,108,94.24
XGBoost,970,2006-10-29 03:30:00,109,97.19
XGBoost,970,2006-10-29 03:45:00,89,132.99
XGBoost,970,2006-10-29 04:00:00,73,118.91
XGBoost,970,2006-10-29 04:15:00,81,91.8
XGBoost,970,2006-10-29 04:30:00,66,92.18
XGBoost,970,2006-10-29 04:45:00,56,64.91
XGBoost,970,2006-10-29 05:00:00,74,63.63
XGBoost,970,2006-10-29 05:15:00,62,74.33
XGBoost,970,2006-10-29 05:30:00,64,75.66
XGBoost,970,2006-10-29 05:45:00,59,75.67
XGBoost,970,2006-10-29 06:00:00,81,71.83
XGBoost,970,2006-10-29 06:15:00,105,87.4
XGBoost,970,2006-10-29 06:30:00,131,115.97
XGBoost,970,2006-10-29 06:45:00,144,153.71
XGBoost,970,2006-10-29 07:00:00,134,157.91
XGBoost,970,2006-10-29 07:15:00,147,157.93
XGBoost,970,2006-10-29 07:30:00,196,171.48
XGBoost,970,2006-10-29 07:45:00,196,220.0
XGBoost,970,2006-10-29 08:00:00,191,245.69
XGBoost,970,2006-10-29 08:15:00,241,238.48
XGBoost,970,2006-10-29 08:30:00,289,277.98
XGBoost,970,2006-10-29 08:45:00,322,332.93
XGBoost,970,2006-10-29 09:00:00,348,366.88
XGBoost,970,2006-10-29 09:15:00,423,391.52
XGBoost,970,2006-10-29 09:30:00,473,487.45
XGBoost,970,2006-10-29 09:45:00,588,556.96
XGBoost,970,2006-10-29 10:00:00,525,628.96
XGBoost,970,2006-10-29 10:15:00,618,623.52
XGBoost,970,2006-10-29 10:30:00,686,654.3
XGBoost,970,2006-10-29 10:45:00,719,709.91
XGBoost,970,2006-10-29 11:00:00,737,723.64
XGBoost,970,2006-10-29 11:15:00,789,747.86
XGBoost,970,2006-10-29 11:30:00,891,813.86
XGBoost,970,2006-10-29 11:45:00,956,921.28
XGBoost,970,2006-10-29 12:00:00,920,958.44
XGBoost,970,2006-10-29 12:15:00,975,963.43
XGBoost,970,2006-10-29 12:30:00,964,986.61
XGBoost,970,2006-10-29 12:45:00,937,985.06
XGBoost,970,2006-10-29 13:00:00,914,946.82
XGBoost,970,2006-10-29 13:15:00,920,942.42
XGBoost,970,2006-10-29 13:30:00,895,935.67
XGBoost,970,2006-10-29 13:45:00,888,922.41
XGBoost,970,2006-10-29 14:00:00,830,912.55
XGBoost,970,2006-10-29 14:15:00,916,864.09
XGBoost,970,2006-10-29 14:30:00,942,879.28
XGBoost,970,2006-10-29 14:45:00,982,947.68
XGBoost,970,2006-10-29 15:00:00,912,965.05
XGBoost,970,2006-10-29 15:15:00,980,926.6
XGBoost,970,2006-10-29 15:30:00,985,942.19
XGBoost,970,2006-10-29 15:45:00,940,966.74
XGBoost,970,2006-10-29 16:00:00,933,962.48
XGBoost,970,2006-10-29 16:15:00,1001,933.93
XGBoost,970,2006-10-29 16:30:00,978,955.63
XGBoost,970,2006-10-29 16:45:00,963,947.41
XGBoost,970,2006-10-29 17:00:00,941,955.88
XGBoost,970,2006-10-29 17:15:00,999,940.25
XGBoost,970,2006-10-29 17:30:00,963,965.34
XGBoost,970,2006-10-29 17:45:00,892,949.82
XGBoost,970,2006-10-29 18:00:00,815,830.9
XGBoost,970,2006-10-29 18:15:00,779,775.91
XGBoost,970,2006-10-29 18:30:00,708,716.53
XGBoost,970,2006-10-29 18:45:00,604,651.8
XGBoost,970,2006-10-29 19:00:00,500,555.19
XGBoost,970,2006-10-29 19:15:00,508,492.98
XGBoost,970,2006-10-29 19:30:00,419,457.2
XGBoost,970,2006-10-29 19:45:00,478,376.77
XGBoost,970,2006-10-29 20:00:00,463,403.09
XGBoost,970,2006-10-29 20:15:00,407,419.87
XGBoost,970,2006-10-29 20:30:00,382,375.51
XGBoost,970,2006-10-29 20:45:00,407,353.26
XGBoost,970,2006-10-29 21:00:00,410,370.46
XGBoost,970,2006-10-29 21:15:00,334,376.85
XGBoost,970,2006-10-29 21:30:00,352,338.96
XGBoost,970,2006-10-29 21:45:00,328,328.94
XGBoost,970,2006-10-29 22:00:00,290,319.35
XGBoost,970,2006-10-29 22:15:00,266,278.64
XGBoost,970,2006-10-29 22:30:00,228,259.55
XGBoost,970,2006-10-29 22:45:00,190,213.73
XGBoost,970,2006-10-29 23:00:00,185,182.3
XGBoost,970,2006-10-29 23:15:00,133,164.12
XGBoost,970,2006-10-29 23:30:00,145,131.13
XGBoost,970,2006-10-29 23:45:00,128,116.31
XGBoost,970,2006-10-30 00:00:00,111,119.61
XGBoost,970,2006-10-30 00:15:00,92,102.28
XGBoost,970,2006-10-30 00:30:00,61,82.86
XGBoost,970,2006-10-30 00:45:00,56,61.71
XGBoost,970,2006-10-30 01:00:00,69,48.46
XGBoost,970,2006-10-30 01:15:00,46,50.64
XGBoost,970,2006-10-30 01:30:00,36,42.04
XGBoost,970,2006-10-30 01:45:00,36,27.7
XGBoost,970,2006-10-30 02:00:00,33,28.37
XGBoost,970,2006-10-30 02:15:00,24,26.85
XGBoost,970,2006-10-30 02:30:00,28,21.17
XGBoost,970,2006-10-30 02:45:00,26,25.68
XGBoost,970,2006-10-30 03:00:00,15,26.37
XGBoost,970,2006-10-30 03:15:00,20,21.04
XGBoost,970,2006-10-30 03:30:00,21,20.83
XGBoost,970,2006-10-30 03:45:00,35,20.22
XGBoost,970,2006-10-30 04:00:00,30,40.49
XGBoost,970,2006-10-30 04:15:00,37,38.95
XGBoost,970,2006-10-30 04:30:00,50,43.15
XGBoost,970,2006-10-30 04:45:00,54,53.3
XGBoost,970,2006-10-30 05:00:00,55,79.04
