model_name,scats_number,hour_datetime,actual_flow_hourly,predicted_flow_hourly
XGBoost,970,2006-10-31 12:00:00,3247,3260.24
XGBoost,970,2006-10-31 13:00:00,3460,3429.85
XGBoost,970,2006-10-31 14:00:00,3456,3500.0999
XGBoost,970,2006-10-31 15:00:00,4096,4061.24
XGBoost,970,2006-10-31 16:00:00,4767,4676.2197
XGBoost,970,2006-10-31 17:00:00,4925,4984.98
XGBoost,970,2006-10-31 18:00:00,4273,4423.99
XGBoost,970,2006-10-31 19:00:00,2815,2775.67
XGBoost,970,2006-10-31 20:00:00,1985,1945.0701
XGBoost,970,2006-10-31 21:00:00,1734,1716.06
XGBoost,970,2006-10-31 22:00:00,1292,1324.44
XGBoost,970,2006-10-31 23:00:00,678,725.97003
XGBoost,2000,2006-10-27 12:00:00,3569,3533.95
XGBoost,2000,2006-10-27 13:00:00,3447,3619.58
XGBoost,2000,2006-10-27 14:00:00,3706,3642.52
XGBoost,2000,2006-10-27 15:00:00,3993,4062.8901
XGBoost,2000,2006-10-27 16:00:00,4791,4610.76
XGBoost,2000,2006-10-27 17:00:00,5217,5054.35
XGBoost,2000,2006-10-27 18:00:00,4728,4779.7
XGBoost,2000,2006-10-27 19:00:00,3346,3414.14
XGBoost,2000,2006-10-27 20:00:00,2303,2352.27
XGBoost,2000,2006-10-27 21:00:00,2213,2284.97
XGBoost,2000,2006-10-27 22:00:00,1827,1797.4
XGBoost,2000,2006-10-27 23:00:00,1562,1535.91
XGBoost,2000,2006-10-28 00:00:00,1055,1093.81
XGBoost,2000,2006-10-28 01:00:00,562,582.17
XGBoost,2000,2006-10-28 02:00:00,404,397.28
XGBoost,2000,2006-10-28 03:00:00,271,257.2
XGBoost,2000,2006-10-28 04:00:00,257,253.47
XGBoost,2000,2006-10-28 05:00:00,465,443.69
XGBoost,2000,2006-10-28 06:00:00,975,1004.66003
XGBoost,2000,2006-10-28 07:00:00,1531,1577.04
XGBoost,2000,2006-10-28 08:00:00,2737,2625.98
XGBoost,2000,2006-10-28 09:00:00,3289,3337.21
XGBoost,2000,2006-10-28 10:00:00,3615,3591.1301
XGBoost,2000,2006-10-28 11:00:00,3898,3794.16
XGBoost,2000,2006-10-28 12:00:00,4077,4036.06
XGBoost,2000,2006-10-28 13:00:00,4034,3992.37
XGBoost,2000,2006-10-28 14:00:00,3895,3907.53
XGBoost,2000,2006-10-28 15:00:00,3868,3878.09
XGBoost,2000,2006-10-28 16:00:00,3859,3896.27
XGBoost,2000,2006-10-28 17:00:00,4057,4025.1401
XGBoost,2000,2006-10-28 18:00:00,3619,3552.94
XGBoost,2000,2006-10-28 19:00:00,2844,2852.43
XGBoost,2000,2006-10-28 20:00:00,2052,2058.65
XGBoost,2000,2006-10-28 21:00:00,1716,1732.51
XGBoost,2000,2006-10-28 22:00:00,1809,1725.19
XGBoost,2000,2006-10-28 23:00:00,1820,1713.81
XGBoost,2000,2006-10-29 00:00:00,1519,1499.01
XGBoost,2000,2006-10-29 01:00:00,693,875.25
XGBoost,2000,2006-10-29 02:00:00,348,279.76
XGBoost,2000,2006-10-29 03:00:00,646,611.5
XGBoost,2000,2006-10-29 04:00:00,459,569.01
XGBoost,2000,2006-10-29 05:00:00,418,428.93
XGBoost,2000,2006-10-29 06:00:00,653,597.57
XGBoost,2000,2006-10-29 07:00:00,851,893.32
XGBoost,2000,2006-10-29 08:00:00,1214,1264.92
XGBoost,2000,2006-10-29 09:00:00,2165,2101.6099
XGBoost,2000,2006-10-29 10:00:00,2883,2813.1401
XGBoost,2000,2006-10-29 11:00:00,3407,3412.94
XGBoost,2000,2006-10-29 12:00:00,3935,3903.43
XGBoost,2000,2006-10-29 13:00:00,3774,3855.9
XGBoost,2000,2006-10-29 14:00:00,3686,3663.26
XGBoost,2000,2006-10-29 15:00:00,3721,3718.9
XGBoost,2000,2006-10-29 16:00:00,3884,3749.96
XGBoost,2000,2006-10-29 17:00:00,3936,3845.98
XGBoost,2000,2006-10-29 18:00:00,3164,3245.42
XGBoost,2000,2006-10-29 19:00:00,2176,2084.65
XGBoost,2000,2006-10-29 20:00:00,1871,1670.68
XGBoost,2000,2006-10-29 21:00:00,1702,1637.21
XGBoost,2000,2006-10-29 22:00:00,1286,1371.63
XGBoost,2000,2006-10-29 23:00:00,840,900.64
XGBoost,2000,2006-10-30 00:00:00,465,522.27
XGBoost,2000,2006-10-30 01:00:00,255,256.73
XGBoost,2000,2006-10-30 02:00:00,149,159.92
XGBoost,2000,2006-10-30 03:00:00,144,134.44
XGBoost,2000,2006-10-30 04:00:00,240,237.91
XGBoost,2000,2006-10-30 05:00:00,665,678.02
XGBoost,2000,2006-10-30 06:00:00,2486,2270.5
XGBoost,2000,2006-10-30 07:00:00,4520,4356.78
XGBoost,2000,2006-10-30 08:00:00,5134,4967.75
XGBoost,2000,2006-10-30 09:00:00,3836,3852.9102
XGBoost,2000,2006-10-30 10:00:00,3201,3206.65
XGBoost,2000,2006-10-30 11:00:00,3164,3261.88
XGBoost,2000,2006-10-30 12:00:00,3286,3291.53
XGBoost,2000,2006-10-30 13:00:00,3522,3462.48
XGBoost,2000,2006-10-30 14:00:00,3227,3511.12
XGBoost,2000,2006-10-30 15:00:00,3772,3762.57
XGBoost,2000,2006-10-30 16:00:00,4510,4417.7197
XGBoost,2000,2006-10-30 17:00:00,5196,4952.8203
XGBoost,2000,2006-10-30 18:00:00,4494,4481.73
XGBoost,2000,2006-10-30 19:00:00,2688,2810.81
XGBoost,2000,2006-10-30 20:00:00,2026,1885.65
XGBoost,2000,2006-10-30 21:00:00,1709,1718.78
XGBoost,2000,2006-10-30 22:00:00,1274,1391.5801
XGBoost,2000,2006-10-30 23:00:00,738,832.95
XGBoost,2000,2006-10-31 00:00:00,379,417.25
XGBoost,2000,2006-10-31 01:00:00,213,195.41
XGBoost,2000,2006-10-31 02:00:00,132,133.56
XGBoost,2000,2006-10-31 03:00:00,135,127.100006
XGBoost,2000,2006-10-31 04:00:00,191,192.25
XGBoost,2000,2006-10-31 05:00:00,654,648.44
XGBoost,2000,2006-10-31 06:00:00,2614,2462.42
XGBoost,2000,2006-10-31 07:00:00,4631,4663.54
XGBoost,2000,2006-10-31 08:00:00,5188,5137.54
XGBoost,2000,2006-10-31 09:00:00,4065,4057.1401
XGBoost,2000,2006-10-31 10:00:00,3393,3361.81
XGBoost,2000,2006-10-31 11:00:00,3289,3339.88
XGBoost,2000,2006-10-31 12:00:00,3257,3338.94
XGBoost,2000,2006-10-31 13:00:00,3548,3462.74
XGBoost,2000,2006-10-31 14:00:00,3613,3559.81
XGBoost,2000,2006-10-31 15:00:00,3940,3935.02
XGBoost,2000,2006-10-31 16:00:00,4744,4659.19
XGBoost,2000,2006-10-31 17:00:00,5176,5105.94
XGBoost,2000,2006-10-31 18:00:00,4733,4712.43
XGBoost,2000,2006-10-31 19:00:00,3107,3114.84
XGBoost,2000,2006-10-31 20:00:00,2246,2134.5
XGBoost,2000,2006-10-31 21:00:00,2061,2009.5599
XGBoost,2000,2006-10-31 22:00:00,1638,1661.39
XGBoost,2000,2006-10-31 23:00:00,955,999.49
XGBoost,2200,2006-10-27 12:00:00,2110,2035.3099
XGBoost,2200,2006-10-27 13:00:00,1965,2008.0
XGBoost,2200,2006-10-27 14:00:00,2103,2035.85
XGBoost,2200,2006-10-27 15:00:00,2348,2411.2
XGBoost,2200,2006-10-27 16:00:00,2535,2518.07
XGBoost,2200,2006-10-27 17:00:00,2663,2725.4302
XGBoost,2200,2006-10-27 18:00:00,2483,2584.63
XGBoost,2200,2006-10-27 19:00:00,1752,1824.1599
XGBoost,2200,2006-10-27 20:00:00,1177,1231.1
XGBoost,2200,2006-10-27 21:00:00,978,1017.18
XGBoost,2200,2006-10-27 22:00:00,855,815.45
XGBoost,2200,2006-10-27 23:00:00,700,702.54
XGBoost,2200,2006-10-28 00:00:00,366,397.32
XGBoost,2200,2006-10-28 01:00:00,202,204.71
XGBoost,2200,2006-10-28 02:00:00,138,126.520004
XGBoost,2200,2006-10-28 03:00:00,120,116.08
XGBoost,2200,2006-10-28 04:00:00,84,87.96001
XGBoost,2200,2006-10-28 05:00:00,145,160.42
XGBoost,2200,2006-10-28 06:00:00,303,351.51
XGBoost,2200,2006-10-28 07:00:00,743,666.6
XGBoost,2200,2006-10-28 08:00:00,1325,1352.48
XGBoost,2200,2006-10-28 09:00:00,1851,1793.95
XGBoost,2200,2006-10-28 10:00:00,2157,2123.25
XGBoost,2200,2006-10-28 11:00:00,2317,2279.97
XGBoost,2200,2006-10-28 12:00:00,2453,2439.94
XGBoost,2200,2006-10-28 13:00:00,2341,2337.49
XGBoost,2200,2006-10-28 14:00:00,2181,2291.3699
XGBoost,2200,2006-10-28 15:00:00,2118,2158.5898
XGBoost,2200,2006-10-28 16:00:00,2108,2153.82
XGBoost,2200,2006-10-28 17:00:00,2108,2171.31
XGBoost,2200,2006-10-28 18:00:00,1842,1864.34
XGBoost,2200,2006-10-28 19:00:00,1569,1500.48
XGBoost,2200,2006-10-28 20:00:00,981,1063.34
XGBoost,2200,2006-10-28 21:00:00,832,854.93
XGBoost,2200,2006-10-28 22:00:00,785,785.52
XGBoost,2200,2006-10-28 23:00:00,781,766.67
XGBoost,2200,2006-10-29 00:00:00,525,537.09
XGBoost,2200,2006-10-29 01:00:00,245,309.86
XGBoost,2200,2006-10-29 02:00:00,46,92.06
XGBoost,2200,2006-10-29 03:00:00,212,161.01001
XGBoost,2200,2006-10-29 04:00:00,126,160.02
XGBoost,2200,2006-10-29 05:00:00,129,140.65
XGBoost,2200,2006-10-29 06:00:00,180,199.28
XGBoost,2200,2006-10-29 07:00:00,294,298.67
XGBoost,2200,2006-10-29 08:00:00,598,541.23
XGBoost,2200,2006-10-29 09:00:00,1077,1060.78
XGBoost,2200,2006-10-29 10:00:00,1389,1440.48
XGBoost,2200,2006-10-29 11:00:00,1683,1662.17
XGBoost,2200,2006-10-29 12:00:00,1970,1990.1599
XGBoost,2200,2006-10-29 13:00:00,1892,1940.61
XGBoost,2200,2006-10-29 14:00:00,1938,1957.83
XGBoost,2200,2006-10-29 15:00:00,1911,1948.4
XGBoost,2200,2006-10-29 16:00:00,2042,1967.41
XGBoost,2200,2006-10-29 17:00:00,1999,2015.65
XGBoost,2200,2006-10-29 18:00:00,1628,1586.8601
XGBoost,2200,2006-10-29 19:00:00,1211,1178.22
XGBoost,2200,2006-10-29 20:00:00,957,940.87
XGBoost,2200,2006-10-29 21:00:00,812,802.47
XGBoost,2200,2006-10-29 22:00:00,565,592.56
XGBoost,2200,2006-10-29 23:00:00,326,338.16
XGBoost,2200,2006-10-30 00:00:00,144,169.36
XGBoost,2200,2006-10-30 01:00:00,76,78.75
XGBoost,2200,2006-10-30 02:00:00,47,52.14
